1	Escalera_Real	AS	K	Q	J	10	TRUE
2020	Dobles_Parejas	9	9	4	4	J	
2021	Dobles_Parejas	9	9	4	4	10	
2022	Dobles_Parejas	9	9	4	4	8	
2023	Dobles_Parejas	9	9	4	4	7	
2024	Dobles_Parejas	9	9	4	4	6	
2025	Dobles_Parejas	9	9	4	4	5	
2026	Dobles_Parejas	9	9	4	4	3	
2027	Dobles_Parejas	9	9	4	4	2	
2028	Dobles_Parejas	9	9	3	3	AS	
2029	Dobles_Parejas	9	9	3	3	K	
2030	Dobles_Parejas	9	9	3	3	Q	
2031	Dobles_Parejas	9	9	3	3	J	
2032	Dobles_Parejas	9	9	3	3	10	
2033	Dobles_Parejas	9	9	3	3	8	
2034	Dobles_Parejas	9	9	3	3	7	
2035	Dobles_Parejas	9	9	3	3	6	
2036	Dobles_Parejas	9	9	3	3	5	
2037	Dobles_Parejas	9	9	3	3	4	
2038	Dobles_Parejas	9	9	3	3	2	
2039	Dobles_Parejas	9	9	2	2	AS	
2040	Dobles_Parejas	9	9	2	2	K	
2041	Dobles_Parejas	9	9	2	2	Q	
2042	Dobles_Parejas	9	9	2	2	J	
2043	Dobles_Parejas	9	9	2	2	10	
2044	Dobles_Parejas	9	9	2	2	8	
2045	Dobles_Parejas	9	9	2	2	7	
2046	Dobles_Parejas	9	9	2	2	6	
2047	Dobles_Parejas	9	9	2	2	5	
2048	Dobles_Parejas	9	9	2	2	4	
2049	Dobles_Parejas	9	9	2	2	3	
2050	Dobles_Parejas	8	8	7	7	AS	
2051	Dobles_Parejas	8	8	7	7	K	
2052	Dobles_Parejas	8	8	7	7	Q	
2053	Dobles_Parejas	8	8	7	7	J	
2054	Dobles_Parejas	8	8	7	7	10	
2055	Dobles_Parejas	8	8	7	7	9	
2056	Dobles_Parejas	8	8	7	7	6	
2057	Dobles_Parejas	8	8	7	7	5	
2058	Dobles_Parejas	8	8	7	7	4	
2059	Dobles_Parejas	8	8	7	7	3	
2060	Dobles_Parejas	8	8	7	7	2	
2061	Dobles_Parejas	8	8	6	6	AS	
2062	Dobles_Parejas	8	8	6	6	K	
2063	Dobles_Parejas	8	8	6	6	Q	
2064	Dobles_Parejas	8	8	6	6	J	
2065	Dobles_Parejas	8	8	6	6	10	
2066	Dobles_Parejas	8	8	6	6	9	
2067	Dobles_Parejas	8	8	6	6	7	
2068	Dobles_Parejas	8	8	6	6	5	
2069	Dobles_Parejas	8	8	6	6	4	
2070	Dobles_Parejas	8	8	6	6	3	
2071	Dobles_Parejas	8	8	6	6	2	
2072	Dobles_Parejas	8	8	5	5	AS	
2073	Dobles_Parejas	8	8	5	5	K	
2074	Dobles_Parejas	8	8	5	5	Q	
2075	Dobles_Parejas	8	8	5	5	J	
2076	Dobles_Parejas	8	8	5	5	10	
2077	Dobles_Parejas	8	8	5	5	9	
2078	Dobles_Parejas	8	8	5	5	7	
2079	Dobles_Parejas	8	8	5	5	6	
2080	Dobles_Parejas	8	8	5	5	4	
2081	Dobles_Parejas	8	8	5	5	3	
2082	Dobles_Parejas	8	8	5	5	2	
2083	Dobles_Parejas	8	8	4	4	AS	
2084	Dobles_Parejas	8	8	4	4	K	
2085	Dobles_Parejas	8	8	4	4	Q	
2086	Dobles_Parejas	8	8	4	4	J	
2087	Dobles_Parejas	8	8	4	4	10	
2088	Dobles_Parejas	8	8	4	4	9	
2089	Dobles_Parejas	8	8	4	4	7	
2090	Dobles_Parejas	8	8	4	4	6	
2091	Dobles_Parejas	8	8	4	4	5	
2092	Dobles_Parejas	8	8	4	4	3	
2093	Dobles_Parejas	8	8	4	4	2	
2094	Dobles_Parejas	8	8	3	3	AS	
2095	Dobles_Parejas	8	8	3	3	K	
2096	Dobles_Parejas	8	8	3	3	Q	
2097	Dobles_Parejas	8	8	3	3	J	
2098	Dobles_Parejas	8	8	3	3	10	
2099	Dobles_Parejas	8	8	3	3	9	
2100	Dobles_Parejas	8	8	3	3	7	
2101	Dobles_Parejas	8	8	3	3	6	
2102	Dobles_Parejas	8	8	3	3	5	
2103	Dobles_Parejas	8	8	3	3	4	
2104	Dobles_Parejas	8	8	3	3	2	
2105	Dobles_Parejas	8	8	2	2	AS	
2106	Dobles_Parejas	8	8	2	2	K	
2107	Dobles_Parejas	8	8	2	2	Q	
2108	Dobles_Parejas	8	8	2	2	J	
2109	Dobles_Parejas	8	8	2	2	10	
2110	Dobles_Parejas	8	8	2	2	9	
2111	Dobles_Parejas	8	8	2	2	7	
2112	Dobles_Parejas	8	8	2	2	6	
2113	Dobles_Parejas	8	8	2	2	5	
2114	Dobles_Parejas	8	8	2	2	4	
2115	Dobles_Parejas	8	8	2	2	3	
2116	Dobles_Parejas	7	7	6	6	AS	
2117	Dobles_Parejas	7	7	6	6	K	
2118	Dobles_Parejas	7	7	6	6	Q	
2119	Dobles_Parejas	7	7	6	6	J	
2120	Dobles_Parejas	7	7	6	6	10	
2121	Dobles_Parejas	7	7	6	6	9	
2122	Dobles_Parejas	7	7	6	6	8	
2123	Dobles_Parejas	7	7	6	6	5	
2124	Dobles_Parejas	7	7	6	6	4	
2125	Dobles_Parejas	7	7	6	6	3	
2126	Dobles_Parejas	7	7	6	6	2	
2127	Dobles_Parejas	7	7	5	5	AS	
2128	Dobles_Parejas	7	7	5	5	K	
2129	Dobles_Parejas	7	7	5	5	Q	
2130	Dobles_Parejas	7	7	5	5	J	
2131	Dobles_Parejas	7	7	5	5	10	
2132	Dobles_Parejas	7	7	5	5	9	
2133	Dobles_Parejas	7	7	5	5	8	
2134	Dobles_Parejas	7	7	5	5	6	
2135	Dobles_Parejas	7	7	5	5	4	
2136	Dobles_Parejas	7	7	5	5	3	
2137	Dobles_Parejas	7	7	5	5	2	
2138	Dobles_Parejas	7	7	4	4	AS	
2139	Dobles_Parejas	7	7	4	4	K	
2140	Dobles_Parejas	7	7	4	4	Q	
2141	Dobles_Parejas	7	7	4	4	J	
2142	Dobles_Parejas	7	7	4	4	10	
2143	Dobles_Parejas	7	7	4	4	9	
2144	Dobles_Parejas	7	7	4	4	8	
2145	Dobles_Parejas	7	7	4	4	6	
2146	Dobles_Parejas	7	7	4	4	5	
2147	Dobles_Parejas	7	7	4	4	3	
2148	Dobles_Parejas	7	7	4	4	2	
2149	Dobles_Parejas	7	7	3	3	AS	
2150	Dobles_Parejas	7	7	3	3	K	
2151	Dobles_Parejas	7	7	3	3	Q	
2152	Dobles_Parejas	7	7	3	3	J	
2153	Dobles_Parejas	7	7	3	3	10	
2154	Dobles_Parejas	7	7	3	3	9	
2155	Dobles_Parejas	7	7	3	3	8	
2156	Dobles_Parejas	7	7	3	3	6	
2157	Dobles_Parejas	7	7	3	3	5	
2158	Dobles_Parejas	7	7	3	3	4	
2159	Dobles_Parejas	7	7	3	3	2	
2160	Dobles_Parejas	7	7	2	2	AS	
2161	Dobles_Parejas	7	7	2	2	K	
2162	Dobles_Parejas	7	7	2	2	Q	
2163	Dobles_Parejas	7	7	2	2	J	
2164	Dobles_Parejas	7	7	2	2	10	
2165	Dobles_Parejas	7	7	2	2	9	
2166	Dobles_Parejas	7	7	2	2	8	
2167	Dobles_Parejas	7	7	2	2	6	
2168	Dobles_Parejas	7	7	2	2	5	
2169	Dobles_Parejas	7	7	2	2	4	
2170	Dobles_Parejas	7	7	2	2	3	
2171	Dobles_Parejas	6	6	5	5	AS	
2172	Dobles_Parejas	6	6	5	5	K	
2173	Dobles_Parejas	6	6	5	5	Q	
2174	Dobles_Parejas	6	6	5	5	J	
2175	Dobles_Parejas	6	6	5	5	10	
2176	Dobles_Parejas	6	6	5	5	9	
2177	Dobles_Parejas	6	6	5	5	8	
2178	Dobles_Parejas	6	6	5	5	7	
2179	Dobles_Parejas	6	6	5	5	4	
2180	Dobles_Parejas	6	6	5	5	3	
2181	Dobles_Parejas	6	6	5	5	2	
2182	Dobles_Parejas	6	6	4	4	AS	
2183	Dobles_Parejas	6	6	4	4	K	
2184	Dobles_Parejas	6	6	4	4	Q	
2185	Dobles_Parejas	6	6	4	4	J	
2186	Dobles_Parejas	6	6	4	4	10	
2187	Dobles_Parejas	6	6	4	4	9	
2188	Dobles_Parejas	6	6	4	4	8	
2189	Dobles_Parejas	6	6	4	4	7	
2190	Dobles_Parejas	6	6	4	4	5	
2191	Dobles_Parejas	6	6	4	4	3	
2192	Dobles_Parejas	6	6	4	4	2	
2193	Dobles_Parejas	6	6	3	3	AS	
2194	Dobles_Parejas	6	6	3	3	K	
2195	Dobles_Parejas	6	6	3	3	Q	
2196	Dobles_Parejas	6	6	3	3	J	
2197	Dobles_Parejas	6	6	3	3	10	
2198	Dobles_Parejas	6	6	3	3	9	
2199	Dobles_Parejas	6	6	3	3	8	
2200	Dobles_Parejas	6	6	3	3	7	
2201	Dobles_Parejas	6	6	3	3	5	
2202	Dobles_Parejas	6	6	3	3	4	
2203	Dobles_Parejas	6	6	3	3	2	
2204	Dobles_Parejas	6	6	2	2	AS	
2205	Dobles_Parejas	6	6	2	2	K	
2206	Dobles_Parejas	6	6	2	2	Q	
2207	Dobles_Parejas	6	6	2	2	J	
2208	Dobles_Parejas	6	6	2	2	10	
2209	Dobles_Parejas	6	6	2	2	9	
2210	Dobles_Parejas	6	6	2	2	8	
2211	Dobles_Parejas	6	6	2	2	7	
2212	Dobles_Parejas	6	6	2	2	5	
2213	Dobles_Parejas	6	6	2	2	4	
2214	Dobles_Parejas	6	6	2	2	3	
2215	Dobles_Parejas	5	5	4	4	AS	
2216	Dobles_Parejas	5	5	4	4	K	
2217	Dobles_Parejas	5	5	4	4	Q	
2218	Dobles_Parejas	5	5	4	4	J	
2219	Dobles_Parejas	5	5	4	4	10	
2220	Dobles_Parejas	5	5	4	4	9	
2221	Dobles_Parejas	5	5	4	4	8	
2222	Dobles_Parejas	5	5	4	4	7	
2223	Dobles_Parejas	5	5	4	4	6	
2224	Dobles_Parejas	5	5	4	4	3	
2225	Dobles_Parejas	5	5	4	4	2	
2226	Dobles_Parejas	5	5	3	3	AS	
2227	Dobles_Parejas	5	5	3	3	K	
2228	Dobles_Parejas	5	5	3	3	Q	
2229	Dobles_Parejas	5	5	3	3	J	
2230	Dobles_Parejas	5	5	3	3	10	
2231	Dobles_Parejas	5	5	3	3	9	
2232	Dobles_Parejas	5	5	3	3	8	
2233	Dobles_Parejas	5	5	3	3	7	
2234	Dobles_Parejas	5	5	3	3	6	
2235	Dobles_Parejas	5	5	3	3	4	
2236	Dobles_Parejas	5	5	3	3	2	
2237	Dobles_Parejas	5	5	2	2	AS	
2238	Dobles_Parejas	5	5	2	2	K	
2239	Dobles_Parejas	5	5	2	2	Q	
2240	Dobles_Parejas	5	5	2	2	J	
2241	Dobles_Parejas	5	5	2	2	10	
2242	Dobles_Parejas	5	5	2	2	9	
2243	Dobles_Parejas	5	5	2	2	8	
2244	Dobles_Parejas	5	5	2	2	7	
2245	Dobles_Parejas	5	5	2	2	6	
2246	Dobles_Parejas	5	5	2	2	4	
2247	Dobles_Parejas	5	5	2	2	3	
2248	Dobles_Parejas	4	4	3	3	AS	
2249	Dobles_Parejas	4	4	3	3	K	
2250	Dobles_Parejas	4	4	3	3	Q	
2251	Dobles_Parejas	4	4	3	3	J	
2252	Dobles_Parejas	4	4	3	3	10	
2253	Dobles_Parejas	4	4	3	3	9	
2254	Dobles_Parejas	4	4	3	3	8	
2255	Dobles_Parejas	4	4	3	3	7	
2256	Dobles_Parejas	4	4	3	3	6	
2257	Dobles_Parejas	4	4	3	3	5	
2258	Dobles_Parejas	4	4	3	3	2	
2259	Dobles_Parejas	4	4	2	2	AS	
2260	Dobles_Parejas	4	4	2	2	K	
2261	Dobles_Parejas	4	4	2	2	Q	
2262	Dobles_Parejas	4	4	2	2	J	
2263	Dobles_Parejas	4	4	2	2	10	
2264	Dobles_Parejas	4	4	2	2	9	
2265	Dobles_Parejas	4	4	2	2	8	
2266	Dobles_Parejas	4	4	2	2	7	
2267	Dobles_Parejas	4	4	2	2	6	
2268	Dobles_Parejas	4	4	2	2	5	
2269	Dobles_Parejas	4	4	2	2	3	
2270	Dobles_Parejas	3	3	2	2	AS	
2271	Dobles_Parejas	3	3	2	2	K	
2272	Dobles_Parejas	3	3	2	2	Q	
2273	Dobles_Parejas	3	3	2	2	J	
2274	Dobles_Parejas	3	3	2	2	10	
2275	Dobles_Parejas	3	3	2	2	9	
2276	Dobles_Parejas	3	3	2	2	8	
2277	Dobles_Parejas	3	3	2	2	7	
2278	Dobles_Parejas	3	3	2	2	6	
2279	Dobles_Parejas	3	3	2	2	5	
2280	Dobles_Parejas	3	3	2	2	4	
2281	Pareja	As	As	2	3	4	
2282	Pareja	As	As	2	3	5	
2283	Pareja	As	As	2	3	6	
2284	Pareja	As	As	2	3	7	
2285	Pareja	As	As	2	3	8	
2286	Pareja	As	As	2	3	9	
2287	Pareja	As	As	2	3	10	
2288	Pareja	As	As	2	3	J	
2289	Pareja	As	As	2	3	Q	
2290	Pareja	As	As	2	3	K	
2291	Pareja	As	As	2	4	5	
2292	Pareja	As	As	2	4	6	
2293	Pareja	As	As	2	4	7	
2294	Pareja	As	As	2	4	8	
2295	Pareja	As	As	2	4	9	
2296	Pareja	As	As	2	4	10	
2297	Pareja	As	As	2	4	J	
2298	Pareja	As	As	2	4	Q	
2299	Pareja	As	As	2	4	K	
2300	Pareja	As	As	2	5	6	
2301	Pareja	As	As	2	5	7	
2302	Pareja	As	As	2	5	8	
2303	Pareja	As	As	2	5	9	
2304	Pareja	As	As	2	5	10	
2305	Pareja	As	As	2	5	J	
2306	Pareja	As	As	2	5	Q	
2307	Pareja	As	As	2	5	K	
2308	Pareja	As	As	2	6	7	
2309	Pareja	As	As	2	6	8	
2310	Pareja	As	As	2	6	9	
2311	Pareja	As	As	2	6	10	
2312	Pareja	As	As	2	6	J	
2313	Pareja	As	As	2	6	Q	
2314	Pareja	As	As	2	6	K	
2315	Pareja	As	As	2	7	8	
2316	Pareja	As	As	2	7	9	
2317	Pareja	As	As	2	7	10	
2318	Pareja	As	As	2	7	J	
2319	Pareja	As	As	2	7	Q	
2320	Pareja	As	As	2	7	K	
2321	Pareja	As	As	2	8	9	
2322	Pareja	As	As	2	8	10	
2323	Pareja	As	As	2	8	J	
2324	Pareja	As	As	2	8	Q	
2325	Pareja	As	As	2	8	K	
2326	Pareja	As	As	2	9	10	
2327	Pareja	As	As	2	9	J	
2328	Pareja	As	As	2	9	Q	
2329	Pareja	As	As	2	9	K	
2330	Pareja	As	As	2	10	J	
2331	Pareja	As	As	2	10	Q	
2332	Pareja	As	As	2	10	K	
2333	Pareja	As	As	2	J	Q	
2334	Pareja	As	As	2	J	K	
2335	Pareja	As	As	2	Q	K	
2336	Pareja	As	As	3	4	5	
2337	Pareja	As	As	3	4	6	
2338	Pareja	As	As	3	4	7	
2339	Pareja	As	As	3	4	8	
2340	Pareja	As	As	3	4	9	
2341	Pareja	As	As	3	4	10	
2342	Pareja	As	As	3	4	J	
2343	Pareja	As	As	3	4	Q	
2344	Pareja	As	As	3	4	K	
2345	Pareja	As	As	3	5	6	
2346	Pareja	As	As	3	5	7	
2347	Pareja	As	As	3	5	8	
2348	Pareja	As	As	3	5	9	
2349	Pareja	As	As	3	5	10	
2350	Pareja	As	As	3	5	J	
2351	Pareja	As	As	3	5	Q	
2352	Pareja	As	As	3	5	K	
2353	Pareja	As	As	3	6	7	
2354	Pareja	As	As	3	6	8	
2355	Pareja	As	As	3	6	9	
2356	Pareja	As	As	3	6	10	
2357	Pareja	As	As	3	6	J	
2358	Pareja	As	As	3	6	Q	
2359	Pareja	As	As	3	6	K	
2360	Pareja	As	As	3	7	8	
2361	Pareja	As	As	3	7	9	
2362	Pareja	As	As	3	7	10	
2363	Pareja	As	As	3	7	J	
2364	Pareja	As	As	3	7	Q	
2365	Pareja	As	As	3	7	K	
2366	Pareja	As	As	3	8	9	
2367	Pareja	As	As	3	8	10	
2368	Pareja	As	As	3	8	J	
2369	Pareja	As	As	3	8	Q	
2370	Pareja	As	As	3	8	K	
2371	Pareja	As	As	3	9	10	
2372	Pareja	As	As	3	9	J	
2373	Pareja	As	As	3	9	Q	
2374	Pareja	As	As	3	9	K	
2375	Pareja	As	As	3	10	J	
2376	Pareja	As	As	3	10	Q	
2377	Pareja	As	As	3	10	K	
2378	Pareja	As	As	3	J	Q	
2379	Pareja	As	As	3	J	K	
2380	Pareja	As	As	3	Q	K	
2381	Pareja	As	As	4	5	6	
2382	Pareja	As	As	4	5	7	
2383	Pareja	As	As	4	5	8	
2384	Pareja	As	As	4	5	9	
2385	Pareja	As	As	4	5	10	
2386	Pareja	As	As	4	5	J	
2387	Pareja	As	As	4	5	Q	
2388	Pareja	As	As	4	5	K	
2389	Pareja	As	As	4	6	7	
2390	Pareja	As	As	4	6	8	
2391	Pareja	As	As	4	6	9	
2392	Pareja	As	As	4	6	10	
2393	Pareja	As	As	4	6	J	
2394	Pareja	As	As	4	6	Q	
2395	Pareja	As	As	4	6	K	
2396	Pareja	As	As	4	7	8	
2397	Pareja	As	As	4	7	9	
2398	Pareja	As	As	4	7	10	
2399	Pareja	As	As	4	7	J	
2400	Pareja	As	As	4	7	Q	
2401	Pareja	As	As	4	7	K	
2402	Pareja	As	As	4	8	9	
2403	Pareja	As	As	4	8	10	
2404	Pareja	As	As	4	8	J	
2405	Pareja	As	As	4	8	Q	
2406	Pareja	As	As	4	8	K	
2407	Pareja	As	As	4	9	10	
2408	Pareja	As	As	4	9	J	
2409	Pareja	As	As	4	9	Q	
2410	Pareja	As	As	4	9	K	
2411	Pareja	As	As	4	10	J	
2412	Pareja	As	As	4	10	Q	
2413	Pareja	As	As	4	10	K	
2414	Pareja	As	As	4	J	Q	
2415	Pareja	As	As	4	J	K	
2416	Pareja	As	As	4	Q	K	
2417	Pareja	As	As	5	6	7	
2418	Pareja	As	As	5	6	8	
2419	Pareja	As	As	5	6	9	
2420	Pareja	As	As	5	6	10	
2421	Pareja	As	As	5	6	J	
2422	Pareja	As	As	5	6	Q	
2423	Pareja	As	As	5	6	K	
2424	Pareja	As	As	5	7	8	
2425	Pareja	As	As	5	7	9	
2426	Pareja	As	As	5	7	10	
2427	Pareja	As	As	5	7	J	
2428	Pareja	As	As	5	7	Q	
2429	Pareja	As	As	5	7	K	
2430	Pareja	As	As	5	8	9	
2431	Pareja	As	As	5	8	10	
2432	Pareja	As	As	5	8	J	
2433	Pareja	As	As	5	8	Q	
2434	Pareja	As	As	5	8	K	
2435	Pareja	As	As	5	9	10	
2436	Pareja	As	As	5	9	J	
2437	Pareja	As	As	5	9	Q	
2438	Pareja	As	As	5	9	K	
2439	Pareja	As	As	5	10	J	
2440	Pareja	As	As	5	10	Q	
2441	Pareja	As	As	5	10	K	
2442	Pareja	As	As	5	J	Q	
2443	Pareja	As	As	5	J	K	
2444	Pareja	As	As	5	Q	K	
2445	Pareja	As	As	6	7	8	
2446	Pareja	As	As	6	7	9	
2447	Pareja	As	As	6	7	10	
2448	Pareja	As	As	6	7	J	
2449	Pareja	As	As	6	7	Q	
2450	Pareja	As	As	6	7	K	
2451	Pareja	As	As	6	8	9	
2452	Pareja	As	As	6	8	10	
2453	Pareja	As	As	6	8	J	
2454	Pareja	As	As	6	8	Q	
2455	Pareja	As	As	6	8	K	
2456	Pareja	As	As	6	9	10	
2457	Pareja	As	As	6	9	J	
2458	Pareja	As	As	6	9	Q	
2459	Pareja	As	As	6	9	K	
2460	Pareja	As	As	6	10	J	
2461	Pareja	As	As	6	10	Q	
2462	Pareja	As	As	6	10	K	
2463	Pareja	As	As	6	J	Q	
2464	Pareja	As	As	6	J	K	
2465	Pareja	As	As	6	Q	K	
2466	Pareja	As	As	7	8	9	
2467	Pareja	As	As	7	8	10	
2468	Pareja	As	As	7	8	J	
2469	Pareja	As	As	7	8	Q	
2470	Pareja	As	As	7	8	K	
2471	Pareja	As	As	7	9	10	
2472	Pareja	As	As	7	9	J	
2473	Pareja	As	As	7	9	Q	
2474	Pareja	As	As	7	9	K	
2475	Pareja	As	As	7	10	J	
2476	Pareja	As	As	7	10	Q	
2477	Pareja	As	As	7	10	K	
2478	Pareja	As	As	7	J	Q	
2479	Pareja	As	As	7	J	K	
2480	Pareja	As	As	7	Q	K	
2481	Pareja	As	As	8	9	10	
2482	Pareja	As	As	8	9	J	
2483	Pareja	As	As	8	9	Q	
2484	Pareja	As	As	8	9	K	
2485	Pareja	As	As	8	10	J	
2486	Pareja	As	As	8	10	Q	
2487	Pareja	As	As	8	10	K	
2488	Pareja	As	As	8	J	Q	
2489	Pareja	As	As	8	J	K	
2490	Pareja	As	As	8	Q	K	
2491	Pareja	As	As	9	10	J	
2492	Pareja	As	As	9	10	Q	
2493	Pareja	As	As	9	10	K	
2494	Pareja	As	As	9	J	Q	
2495	Pareja	As	As	9	J	K	
2496	Pareja	As	As	9	Q	K	
2497	Pareja	As	As	10	J	Q	
2498	Pareja	As	As	10	J	K	
2499	Pareja	As	As	10	Q	K	
2500	Pareja	As	As	J	Q	K	
2501	Pareja	K	K	2	3	4	
2502	Pareja	K	K	2	3	5	
2503	Pareja	K	K	2	3	6	
2504	Pareja	K	K	2	3	7	
2505	Pareja	K	K	2	3	8	
2506	Pareja	K	K	2	3	9	
2507	Pareja	K	K	2	3	10	
2508	Pareja	K	K	2	3	J	
2509	Pareja	K	K	2	3	Q	
2510	Pareja	K	K	2	3	A	
2511	Pareja	K	K	2	4	5	
2512	Pareja	K	K	2	4	6	
2513	Pareja	K	K	2	4	7	
2514	Pareja	K	K	2	4	8	
2515	Pareja	K	K	2	4	9	
2516	Pareja	K	K	2	4	10	
2517	Pareja	K	K	2	4	J	
2518	Pareja	K	K	2	4	Q	
2519	Pareja	K	K	2	4	A	
2520	Pareja	K	K	2	5	6	
2521	Pareja	K	K	2	5	7	
2522	Pareja	K	K	2	5	8	
2523	Pareja	K	K	2	5	9	
2524	Pareja	K	K	2	5	10	
2525	Pareja	K	K	2	5	J	
2526	Pareja	K	K	2	5	Q	
2527	Pareja	K	K	2	5	A	
2528	Pareja	K	K	2	6	7	
2529	Pareja	K	K	2	6	8	
2530	Pareja	K	K	2	6	9	
2531	Pareja	K	K	2	6	10	
2532	Pareja	K	K	2	6	J	
2533	Pareja	K	K	2	6	Q	
2534	Pareja	K	K	2	6	A	
2535	Pareja	K	K	2	7	8	
2536	Pareja	K	K	2	7	9	
2537	Pareja	K	K	2	7	10	
2538	Pareja	K	K	2	7	J	
2539	Pareja	K	K	2	7	Q	
2540	Pareja	K	K	2	7	A	
2541	Pareja	K	K	2	8	9	
2542	Pareja	K	K	2	8	10	
2543	Pareja	K	K	2	8	J	
2544	Pareja	K	K	2	8	Q	
2545	Pareja	K	K	2	8	A	
2546	Pareja	K	K	2	9	10	
2547	Pareja	K	K	2	9	J	
2548	Pareja	K	K	2	9	Q	
2549	Pareja	K	K	2	9	A	
2550	Pareja	K	K	2	10	J	
2551	Pareja	K	K	2	10	Q	
2552	Pareja	K	K	2	10	A	
2553	Pareja	K	K	2	J	Q	
2554	Pareja	K	K	2	J	A	
2555	Pareja	K	K	2	Q	A	
2556	Pareja	K	K	3	4	5	
2557	Pareja	K	K	3	4	6	
2558	Pareja	K	K	3	4	7	
2559	Pareja	K	K	3	4	8	
2560	Pareja	K	K	3	4	9	
2561	Pareja	K	K	3	4	10	
2562	Pareja	K	K	3	4	J	
2563	Pareja	K	K	3	4	Q	
2564	Pareja	K	K	3	4	A	
2565	Pareja	K	K	3	5	6	
2566	Pareja	K	K	3	5	7	
2567	Pareja	K	K	3	5	8	
2568	Pareja	K	K	3	5	9	
2569	Pareja	K	K	3	5	10	
2570	Pareja	K	K	3	5	J	
2571	Pareja	K	K	3	5	Q	
2572	Pareja	K	K	3	5	A	
2573	Pareja	K	K	3	6	7	
2574	Pareja	K	K	3	6	8	
2575	Pareja	K	K	3	6	9	
2576	Pareja	K	K	3	6	10	
2577	Pareja	K	K	3	6	J	
2578	Pareja	K	K	3	6	Q	
2579	Pareja	K	K	3	6	A	
2580	Pareja	K	K	3	7	8	
2581	Pareja	K	K	3	7	9	
2582	Pareja	K	K	3	7	10	
2583	Pareja	K	K	3	7	J	
2584	Pareja	K	K	3	7	Q	
2585	Pareja	K	K	3	7	A	
2586	Pareja	K	K	3	8	9	
2587	Pareja	K	K	3	8	10	
2588	Pareja	K	K	3	8	J	
2589	Pareja	K	K	3	8	Q	
2590	Pareja	K	K	3	8	A	
2591	Pareja	K	K	3	9	10	
2592	Pareja	K	K	3	9	J	
2593	Pareja	K	K	3	9	Q	
2594	Pareja	K	K	3	9	A	
2595	Pareja	K	K	3	10	J	
2596	Pareja	K	K	3	10	Q	
2597	Pareja	K	K	3	10	A	
2598	Pareja	K	K	3	J	Q	
2599	Pareja	K	K	3	J	A	
2600	Pareja	K	K	3	Q	A	
2601	Pareja	K	K	4	5	6	
2602	Pareja	K	K	4	5	7	
2603	Pareja	K	K	4	5	8	
2604	Pareja	K	K	4	5	9	
2605	Pareja	K	K	4	5	10	
2606	Pareja	K	K	4	5	J	
2607	Pareja	K	K	4	5	Q	
2608	Pareja	K	K	4	5	A	
2609	Pareja	K	K	4	6	7	
2610	Pareja	K	K	4	6	8	
2611	Pareja	K	K	4	6	9	
2612	Pareja	K	K	4	6	10	
2613	Pareja	K	K	4	6	J	
2614	Pareja	K	K	4	6	Q	
2615	Pareja	K	K	4	6	A	
2616	Pareja	K	K	4	7	8	
2617	Pareja	K	K	4	7	9	
2618	Pareja	K	K	4	7	10	
2619	Pareja	K	K	4	7	J	
2620	Pareja	K	K	4	7	Q	
2621	Pareja	K	K	4	7	A	
2622	Pareja	K	K	4	8	9	
2623	Pareja	K	K	4	8	10	
2624	Pareja	K	K	4	8	J	
2625	Pareja	K	K	4	8	Q	
2626	Pareja	K	K	4	8	A	
2627	Pareja	K	K	4	9	10	
2628	Pareja	K	K	4	9	J	
2629	Pareja	K	K	4	9	Q	
2630	Pareja	K	K	4	9	A	
2631	Pareja	K	K	4	10	J	
2632	Pareja	K	K	4	10	Q	
2633	Pareja	K	K	4	10	A	
2634	Pareja	K	K	4	J	Q	
2635	Pareja	K	K	4	J	A	
2636	Pareja	K	K	4	Q	A	
2637	Pareja	K	K	5	6	7	
2638	Pareja	K	K	5	6	8	
2639	Pareja	K	K	5	6	9	
2640	Pareja	K	K	5	6	10	
2641	Pareja	K	K	5	6	J	
2642	Pareja	K	K	5	6	Q	
2643	Pareja	K	K	5	6	A	
2644	Pareja	K	K	5	7	8	
2645	Pareja	K	K	5	7	9	
2646	Pareja	K	K	5	7	10	
2647	Pareja	K	K	5	7	J	
2648	Pareja	K	K	5	7	Q	
2649	Pareja	K	K	5	7	A	
2650	Pareja	K	K	5	8	9	
2651	Pareja	K	K	5	8	10	
2652	Pareja	K	K	5	8	J	
2653	Pareja	K	K	5	8	Q	
2654	Pareja	K	K	5	8	A	
2655	Pareja	K	K	5	9	10	
2656	Pareja	K	K	5	9	J	
2657	Pareja	K	K	5	9	Q	
2658	Pareja	K	K	5	9	A	
2659	Pareja	K	K	5	10	J	
2660	Pareja	K	K	5	10	Q	
2661	Pareja	K	K	5	10	A	
2662	Pareja	K	K	5	J	Q	
2663	Pareja	K	K	5	J	A	
2664	Pareja	K	K	5	Q	A	
2665	Pareja	K	K	6	7	8	
2666	Pareja	K	K	6	7	9	
2667	Pareja	K	K	6	7	10	
2668	Pareja	K	K	6	7	J	
2669	Pareja	K	K	6	7	Q	
2670	Pareja	K	K	6	7	A	
2671	Pareja	K	K	6	8	9	
2672	Pareja	K	K	6	8	10	
2673	Pareja	K	K	6	8	J	
2674	Pareja	K	K	6	8	Q	
2675	Pareja	K	K	6	8	A	
2676	Pareja	K	K	6	9	10	
2677	Pareja	K	K	6	9	J	
2678	Pareja	K	K	6	9	Q	
